disease,standardized_disease_name,standardized_disease_name_alt,disease_group,disease_order,disease_family,disease_genus,disease_species,disease_abbreviation,disease_details,disease_details1,disease_details2,disease_vector
turkey rhinotracheitis (2006-),Avian metapneumovirus,NA,virus,Mononegavirales,Pneumoviridae,Metapneumovirus,Avian metapneumovirus,aMPV,RNA,single-stranded,negative-sense,NA
batrachochytrium salamandrivorans (inf. with)(2014-),batrachochytrium salamandrivorans,NA,eukaryote,Rhizophydiales,Batrachochytriaceae,Batrachochytrium,salamandrivorans,NA,fungus,NA,NA,NA
yellow head virus genotype 1 (inf. with) (2019-),yellow head disease,NA,virus,Nidovirales,Roniviridae,Okavirus,Yellow head virus,YHV1,RNA,single-stranded,positive-sense,NA
low pathogenicity avian influenza viruses transmissible to humans (inf. with) (2022-),low pathogenic avian influenza,NA,virus,Articulavirales,Influenza A virus,Alphainfluenzavirus,Influenza A virus,NA,RNA,single-stranded,negative-sense,NA
"trypanosoma brucei, t. congolense, t. simiae and t. vivax (inf. with) (2022-)",trypanosomiasis,NA,eukaryote,Trypanosomatida,Trypanosomatidae,Trypanosoma,brucei,NA,NA,NA,NA,NA
dermatophilosis (-2005),dermatophilosis,rain scald,bacteria,Micrococcales,Dermatophilaceae,Dermatophilus,congolensis,NA,gram-positive,facultative anaerobe,NA,NA
bovine cysticercosis (-2014),bovine cysticercosis,tapeworm,eukaryote,Cyclophyllidea,Taeniidae,Taenia,saginata,NA,NA,NA,NA,NA
horse mange (-2005),horse mange,NA,eukaryote,NA,NA,NA,NA,NA,NA,NA,NA,NA
"theileria annulata, theileria orientalis and theileria parva (inf. with) (2023-)",piroplasmosis,NA,eukaryote,Piroplasmida,Theileriidae,Theileria,NA,NA,NA,NA,NA,NA
marteilia sydneyi (inf. with)(-2005),QX disease,NA,eukaryote,Paramyxida,Marteiliidae,Marteilia,sydneyi,NA,NA,NA,NA,NA
perkinsus olseni/atlanticus (inf. with)(-2005),perkinsus olseni,perkinsus atlanticus,eukaryote,Perkinsida,Perkinsidae,Perkinsus,olseni,NA,alveolate,NA,NA,NA
viral encephalopathy and retinopathy (-2005),encephalopathy,NA,virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
avian tuberculosis (-2005),mycobacteriosis,NA,bacteria,Mycobacteriales,Mycobacteriaceae,Mycobacterium,avium,NA,gram-resistant,aerobe,NA,NA
