disease,standardized_disease_name,standardized_disease_name_alt,disease_group,disease_order,disease_family,disease_genus,disease_species,disease_abbreviation,disease_details,disease_details1,disease_details2,disease_vector
ostreid herpes-1,ostreid herpes-1,NA,virus,Herpesvirales,Malacoherpesviridae,Ostreavirus,Ostreid herpesvirus 1,OsHV-1,DNA,NA,NA,NA
ovine bluetongue disease,ovine bluetongue disease,NA,virus,Reovirales,Reoviridae,Orbivirus,Bluetongue virus,BTV,RNA,double-stranded,NA,NA
ovine contagious epididymitis,ovine contagious epididymitis,NA,bacteria+D95,NA,NA,NA,NA,NA,NA,NA,NA,NA
ovine pox disease,ovine pox disease,Sheeppox,virus,Chitovirales,Poxviridae,Capripoxvirus,Sheeppox virus,SPV,DNA,double-stranded,NA,NA
parasitic gastroenteritis,parasitic gastroenteritis,NA,eukaryote,NA,NA,NA,NA,NA,giardia?,cryptosporidium?,NA,NA
paratuberculosis,paratuberculosis,NA,bacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,M. avium,NA,gram-resistant,aerobe,NA,NA
perkinsus marinus,perkinsus marinus,NA,eukaryote,Perkinsida,Perkinsidae,Perkinsus,marinus,NA,alveolate,NA,NA,NA
perkinsus olseni,perkinsus olseni,perkinsus atlanticus,eukaryote,Perkinsida,Perkinsidae,Perkinsus,olseni,NA,alveolate,NA,NA,NA
peste des petits ruminants,peste des petits ruminants,Ovine rinderpest,virus,Mononegavirales,Paramyxoviridae,Morbillivirus,Small ruminant morbillivirus,PPR,RNA,single-stranded,negative-sense,NA
pleuropneumonia,pleuropneumonia,NA,bacteria,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,mycoides,NA,gram-negative,facultative anaerobe,NA,NA
porcine epidemic diarrhea,porcine epidemic diarrhea,NA,virus,Coronaviridae,Alphacoronavirus,Pedacovirus,Porcine epidemic diarrhea virus,PEDV,RNA,single-stranded,NA,NA
porcine reproductive and respiratory syndrome,porcine reproductive and respiratory syndrome,NA,virus,Nidovirales,Arteriviridae,Betaarterivirus,Betaarterivirus suid 1,PRRSV,RNA,single-stranded,positive-sense,NA
postweaning multisystemic wasting syndrome,postweaning multisystemic wasting syndrome,NA,virus,Cirlivirales,Circoviridae,Circovirus,Porcine circovirus 2,PCV,DNA,single-stranded,NA,NA
poxvirus,poxvirus,NA,virus,Chitovirales,Poxviridae,NA,NA,NA,DNA,double-stranded,NA,NA
"primary screwworm, new world screwworm","primary screwworm, new world screwworm",NA,eukaryote,Diptera,Calliphoridae,Cochliomyia,NA,NA,insecta,NA,NA,NA
pullorum disease,pullorum disease,NA,bacteria,Enterobacterales,Enterobacteriaceae,Salmonella,pullorum,NA,gram-negative,facultative anaerobe,NA,NA
q fever,q fever,Q fever,bacteria,Legionellales,Coxiellaceae,Coxiella,burnetii,NA,gram-negative,aerobe,NA,NA
rabies,rabies,NA,virus,Mononegavirales,Rhabdoviridae,Lyssavirus,NA,NA,RNA,single-stranded,negative-sense,NA
rana,rana,ranavirus,virus,Iridoviridae,Alphairidovirinae,Ranavirus,NA,NA,DNA,double-stranded,NA,NA
red sea bream iridoviral disease rsivd,red sea bream iridoviral disease rsivd,NA,virus,Pimascovirales,Iridoviridae,Iridovirus,Red sea bream iridovirus,RSIV,DNA,double-stranded,NA,NA
rift valley fever,rift valley fever,Rift Valley Fever,virus,Bunyavirales,Phenuiviridae,Phlebovirus,Rift Valley fever phlebovirus,RVF,RNA,single-stranded,ambi-sense,mosquito
sars-cov-2,sars-cov-2,NA,virus,Nidovirales,Coronaviridae,Betacoronavirus,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,RNA,single-stranded,positive-sense,positive-sense
schmallenberg virus,schmallenberg virus,NA,virus,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Schmallenberg orthobunyavirus,SBV,RNA,single-stranded,negative-sense,NA
scrapie,scrapie,NA,prion,NA,NA,NA,NA,NA,NA,NA,NA,NA
small hive beetle inf.,small hive beetle inf.,aethina tumida,eukaryote,Coleoptera,Nitidulidae,Aethina,tumida,NA,insecta,NA,NA,NA
spring viremia of carp,spring viremia of carp,swim bladder inflammation,virus,Mononegavirales,Rhabdoviridae,Sprivivirus,Carp sprivivirus,SVCV,RNA,single-stranded,negative-sense,NA
surra,surra,NA,eukaryote,Trypanosomatida,Trypanosomatidae,Trypanosoma,evansi,NA,excavate,NA,NA,NA
swine vesicular disease,swine vesicular disease,NA,virus,Picornavirales,Picornaviridae,Enterovirus,Enterovirus B,EV-B,RNA,single-stranded,positive-sense,NA
taura syndrome,taura syndrome,NA,virus,Picornavirales,Dicistroviridae,Aparavirus,Taura syndrome virus,TSV,RNA,single-stranded,positive-sense,NA
taylorella equigenitalis,taylorella equigenitalis,Contagious equine metritis,bacteria,Burkholderiales,Alcaligenaceae,Taylorella,equigenitalis,NA,gram-negative,aerobe,NA,NA
tilapia lake  disease,tilapia lake disease,NA,virus,Articulavirales,Amnoonviridae,Tilapinevirus,Tilapia tilapinevirus,TiLV,RNA,single-stranded,negative-sense,NA
trichinellosis,trichinellosis,NA,eukaryote,Trichocephalida,Trichinellidae,Trichinella,NA,NA,nematode,NA,NA,NA
trypanosomiasis,trypanosomiasis,NA,eukaryote,Trypanosomatida,Trypanosomatidae,Trypanosoma,NA,NA,NA,NA,NA,"flies,triatome bugs"
tularemia,tularemia,rabbit fever,bacteria,Thiotrichales,Francisellaceae,Francisella,tularensis,NA,gram-negative,aerobe,NA,"ticks,deer flies"
varroosis,varroosis,NA,eukaryote,Mesostigmata,Varroidae,Varroa,destructor,NA,arachnid,NA,NA,NA
venezuelan equine encephalitis,venezuelan equine encephalitis,NA,virus,Martellivirales,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,VEE,RNA,single-stranded,positive-sense,NA
vesicular stomatitis,vesicular stomatitis,NA,virus,Mononegavirales,Rhabdoviridae,Vesiculovirus,Indiana vesiculovirus,VSIV,RNA,single-stranded,negative-sense,NA
viral haemorrhagic disease,viral hemorrhagic septicemia,viral hemorrhagic septicemia,virus,Picornavirales,Caliciviridae,Lagovirus,Rabbit hemorrhagic disease virus,RHDV,RNA,single-stranded,positive-sense,NA
viral hemorrhagic septicemia,viral hemorrhagic septicemia,viral haemorrhagic disease,virus,Picornavirales,Caliciviridae,Lagovirus,Rabbit hemorrhagic disease virus,RHDV,RNA,single-stranded,positive-sense,NA
west nile encephalitis,west nile encephalitis,NA,virus,Amarillovirales,Flaviviridae,Flavivirus,West Nile virus,WNV,RNA,single-stranded,positive-sense,NA
white spot syndrome virus 1,white spot syndrome virus 1,NA,virus,incertae sedis,Nimaviridae,Whispovirus,White spot syndrome virus,WSS,DNA,double-stranded,NA,NA
xenohaliotis californiensis,xenohaliotis californiensis,NA,bacteria,Rickettsiales,Rickettsiaceae,Candidatus,Xenohaliotis californiensis,NA,gram-negative,aerobe,obligate intracellular,NA
west nile fever,west nile encephalitis,NA,virus,Amarillovirales,Flaviviridae,Flavivirus,West Nile virus,WNV,RNA,single-stranded,positive-sense,NA
high pathogenicity avian influenza viruses (poultry) (inf. with),highly pathogenic avian influenza,hpai,virus,Articulavirales,Influenza A virus,Alphainfluenzavirus,Influenza A virus,HPAI,RNA,single-stranded,negative-sense,NA
high pathogenicity avian influenza viruses (poultry) (inf. with),highly pathogenic avian influenza,highly pathogenic avian influenza,virus,Articulavirales,Influenza A virus,Alphainfluenzavirus,Influenza A virus,HPAI,RNA,single-stranded,negative-sense,NA
foot and mouth disease virus (inf. with),foot-and-mouth disease,Foot And Mouth Disease,virus,Picornavirales,Picornaviridae,Aphthovirus,Foot-and-mouth disease virus,FMDV,RNA,single-stranded,positive-sense,NA
aphanomyces invadans (inf. with) (epizootic ulcerative syndrome),epizootic ulcerative syndrome,epizootic ulcerative syndrome,eukaryote,Saprolegniales,Leptolegniaceae,Aphanomyces,invadans,NA,mould,NA,NA,NA
aphanomyces invadans (inf. with) (epizootic ulcerative syndrome),epizootic ulcerative syndrome,aphanomyces invadans,eukaryote,Saprolegniales,Leptolegniaceae,Aphanomyces,invadans,NA,mould,NA,NA,NA
newcastle disease virus (inf. with),newcastle disease,NA,virus,Mononegavirales,Paramyxoviridae,Orthoavulavirus,Avian orthoavulavirus 1,NDV,RNA,single-stranded,negative-sense,NA
echinococcosis/hydatidosis,echinococcosis,NA,eukaryote,Cyclophyllidea,Taeniidae,Echinococcus,NA,NA,platyhelminth,NA,NA,NA
bonamia exitiosa (inf. with),bonamia exitiosa,NA,eukaryote,Haplosporida,Haplosporidiidae,Bonamia,exitiosa,NA,rhizaria,NA,NA,NA
vesicular stomatitis (-2014),vesicular stomatitis,NA,virus,Mononegavirales,Rhabdoviridae,Vesiculovirus,Indiana vesiculovirus,VSIV,RNA,single-stranded,negative-sense,NA
african swine fever virus (inf. with),african swine fever,NA,virus,Asfuvirales,Reoviridae,Asfivirus,African swine fever virus,ASFV,DNA,double-stranded,NA,NA
xenohaliotis californiensis (inf. with),xenohaliotis californiensis,NA,bacteria,Rickettsiales,Rickettsiaceae,Candidatus,Xenohaliotis californiensis,NA,gram-negative,aerobe,obligate intracellular,NA
porcine reproductive and respiratory syndrome virus (inf. with),porcine reproductive and respiratory syndrome,NA,virus,Nidovirales,Arteriviridae,Betaarterivirus,Betaarterivirus suid 1,PRRSV,RNA,single-stranded,positive-sense,NA
bluetongue virus (inf. with),ovine bluetongue disease,NA,virus,Reovirales,Reoviridae,Orbivirus,Bluetongue virus,BTV,RNA,double-stranded,NA,NA
sheep pox and goat pox,ovine pox disease,Sheeppox,virus,Chitovirales,Poxviridae,Capripoxvirus,Sheeppox virus,SPV,DNA,double-stranded,NA,NA
low pathogenic avian influenza (poultry) (2006-2021),low pathogenic avian influenza,NA,virus,Articulavirales,Influenza A virus,Alphainfluenzavirus,Influenza A virus,NA,RNA,single-stranded,negative-sense,NA
african horse sickness virus (inf. with),african horse sickness,NA,virus,Reovirales,Reoviridae,Orbivirus,African horse sickness virus,AHSV,RNA,double-stranded,NA,NA
venezuelan equine encephalomyelitis,venezuelan equine encephalitis,NA,virus,Martellivirales,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,VEE,RNA,single-stranded,positive-sense,NA
classical swine fever virus (inf. with),classical swine fever,hog cholera,virus,Amarillovirales,Flaviviridae,Pestivirus,Pestivirus C,CSFV,RNA,single-stranded,positive-sense,NA
peste des petits ruminants virus (inf. with),peste des petits ruminants,Ovine rinderpest,virus,Mononegavirales,Paramyxoviridae,Morbillivirus,Small ruminant morbillivirus,PPR,RNA,single-stranded,negative-sense,NA
aphanomyces astaci (inf. with)(crayfish plague),aphanomyces astaci,crayfish pague,eukaryote,Saprolegniales,Leptolegniaceae,Aphanomyces,astaci,NA,mould,NA,NA,NA
white spot syndrome virus (inf. with),white spot syndrome virus 1,NA,virus,incertae sedis,Nimaviridae,Whispovirus,White spot syndrome virus,WSS,DNA,double-stranded,NA,NA
burkholderia mallei (inf. with) (glanders),glanders,NA,bacteria,Burkholderiales,Burkholderiaceae,Burkholderia,mallei,NA,gram-negative,aerobe,NA,NA
contagious equine metritis,taylorella equigenitalis,Contagious equine metritis,bacteria,Burkholderiales,Alcaligenaceae,Taylorella,equigenitalis,NA,gram-negative,aerobe,NA,NA
rabbit haemorrhagic disease,viral hemorrhagic septicemia,viral haemorrhagic disease,virus,Picornavirales,Caliciviridae,Lagovirus,Rabbit hemorrhagic disease virus,RHDV,RNA,single-stranded,positive-sense,NA
equine rhinopneumonitis (-2013),equine viral rhinopneumonitis,NA,virus,Herpesvirales,Herpesviridae,Varicellovirus,Equid alphaherpesvirus 4,EHV-4,DNA,double-stranded,NA,NA
caprine arthritis/encephalitis,caprine arthritis and encephalitis,NA,virus,Ortervirales,Retroviridae,Lentivirus,Caprine arthritis encephalitis virus,CAEV,RNA,single-stranded,positive-sense,NA
rift valley fever virus (inf. with),rift valley fever,Rift Valley Fever,virus,Bunyavirales,Phenuiviridae,Phlebovirus,Rift Valley fever phlebovirus,RVF,RNA,single-stranded,ambi-sense,mosquito
spring viraemia of carp virus (inf. with),spring viremia of carp,swim bladder inflammation,virus,Mononegavirales,Rhabdoviridae,Sprivivirus,Carp sprivivirus,SVCV,RNA,single-stranded,negative-sense,NA
perkinsus olseni (inf. with)(2006-),perkinsus olseni,perkinsus atlanticus,eukaryote,Perkinsida,Perkinsidae,Perkinsus,olseni,NA,alveolate,NA,NA,NA
koi herpesvirus (inf. with),koi herpesvirus disease,koi herpesvirus disease,virus,Herpesvirales,Alloherpesviridae,Cyprinivirus,Cyprinid herpesvirus 3,KHV,DNA,double-stranded,NA,NA
koi herpesvirus (inf. with),koi herpesvirus disease,koi herpes disease,virus,Herpesvirales,Alloherpesviridae,Cyprinivirus,Cyprinid herpesvirus 3,KHV,DNA,double-stranded,NA,NA
ostreid herpesvirus-1 microvariant (inf. with)(-2014),ostreid herpes-1,NA,virus,Herpesvirales,Malacoherpesviridae,Ostreavirus,Ostreid herpesvirus 1,OsHV-1,DNA,NA,NA,NA
equine influenza virus (inf. with),equine infectious anaemia,swamp fever,virus,Ortervirales,Retroviridae,Lentivirus,Equine infectious anemia virus,EIAV,RNA,single-stranded,positive-sense,NA
hendra viruses (inf. with),hendra virus pneumonia,NA,virus,Mononegavirales,Paramyxoviridae,Henipavirus,Hendra henipavirus,HeV,RNA,single-stranded,negative-sense,NA
rabies virus (inf. with),rabies,NA,virus,Mononegavirales,Rhabdoviridae,Lyssavirus,NA,NA,RNA,single-stranded,negative-sense,NA
marteilia refringens (inf. with),marteilia refringens,NA,eukaryote,Paramyxida,Marteiliidae,Marteilia,efringens,NA,protozoan,NA,NA,NA
ranavirus (inf. with)(2009-),rana,ranavirus,virus,Iridoviridae,Alphairidovirinae,Ranavirus,NA,NA,DNA,double-stranded,NA,NA
transmissible gastroenteritis,transmissible gastroenteritis,NA,virus,Nidovirales,Coronaviridae,Alphacoronavirus,Transmissible gastroenteritis virus,TGEV,RNA,single-stranded,positive-sense,NA
paenibacillus larvae (inf. of honey bees with) (american foulbrood),american fool brood,NA,bacteria,Bacillales,Paenibacillaceae,Paenibacillus,larvae,NA,gram-positive,facultative anaerobe,NA,NA
brucella suis (inf. with),brucellosis,Brucellosis,bacteria,Hyphomicrobiales,Brucellaceae,Brucella,suis,NA,gram-negative,aerobe,facultative intracellular,NA
bovine tuberculosis (-2018),bovine tuberculosis,NA,bacteria,Mycobacteriales,Mycobacteriaceae,Mycobacterium,tuberculosis,NA,gram-resistant,aerobe,NA,NA
myxomatosis,myxoma virus,NA,virus,Chitovirales,Poxviridae,Leporipoxvirus,Myxoma virus,MV,DNA,double-stranded,NA,NA
lumpy skin disease virus (inf. with),lumpy skin disease,Neethling virus,virus,Chitovirales,Poxviridae,Capripoxvirus,Lumpy skin disease virus,LSDV,DNA,double-stranded,NA,NA
schmallenberg virus (inf. with),schmallenberg virus,NA,virus,Bunyavirales,Peribunyaviridae,Orthobunyavirus,Schmallenberg orthobunyavirus,SBV,RNA,single-stranded,negative-sense,NA
aujeszky's disease virus (inf. with),aujeszkys disease,pseudorabies,virus,Herpesvirales,Herpesviridae,Varicellovirus,Suid alphaherpesvirus 1,SuHV-1,DNA,double-stranded,NA,NA
infectious salmon anaemia virus (inf. with) (hpr-deleted or hpr0 genotypes),infectious salmon anaemia,NA,virus,Articulavirales,Orthomyxoviridae,Isavirus,Salmon isavirus,ISA,RNA,single-stranded,negative-sense,NA
"chlamydia abortus (inf. with) (enzootic abortion of ewes, ovine chlamydiosis)",enzootic abortion of ewes,chlamydiosis,bacteria,Chlamydiales,Chlamydiaceae,Chlamydia,abortus,NA,gram-negative,anaerobe,obligate intracellular,NA
brucella abortus (inf. with),brucella abortus,NA,bacteria,Hyphomicrobiales,Brucellaceae,Brucella,abortus,NA,gram-negative,aerobe,facultative intracellular,NA
viral haemorrhagic septicaemia virus (inf. with),viral hemorrhagic septicemia,viral hemorrhagic septicemia,virus,Picornavirales,Caliciviridae,Lagovirus,Rabbit hemorrhagic disease virus,RHDV,RNA,single-stranded,positive-sense,NA
viral haemorrhagic septicaemia virus (inf. with),viral hemorrhagic septicemia,viral haemorrhagic disease,virus,Picornavirales,Caliciviridae,Lagovirus,Rabbit hemorrhagic disease virus,RHDV,RNA,single-stranded,positive-sense,NA
brucella melitensis (inf. with),brucellosis,Brucellosis,bacteria,Hyphomicrobiales,Brucellaceae,Brucella,melitensis,NA,gram-negative,aerobe,facultative intracellular,NA
aethina tumida (inf. with)(small hive beetle)(2006-),small hive beetle inf.,aethina tumida,eukaryote,Coleoptera,Nitidulidae,Aethina,tumida,NA,insecta,NA,NA,NA
melissococcus plutonius (inf. of honey bees with) (european foulbrood),european foulbrood,NA,bacteria,Lactobacillales,Enterococcaceae,Melissococcus,plutonius,NA,NA,NA,NA,NA
maedi-visna,maedi visna,NA,virus,Ortervirales,Retroviridae,Lentivirus,Visna virus,VMV,RNA,single-stranded,positive-sense,NA
mycoplasma mycoides subsp. mycoides sc (inf. with) (contagious bovine pleuropneumonia),mycoplasma infection,NA,bacteria,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,mycoides,NA,gram-negative,facultative anaerobe,NA,NA
equine arteritis virus (inf. with),equine arteritis,NA,virus,Nidovirales,Arteriviridae,Alphaarterivirus,Alphaarterivirus equid,EAV,RNA,single-stranded,positive-sense,NA
infectious bovine rhinotracheitis/infectious pustular vulvovaginitis,infectious bovine rhinotracheitis,NA,virus,Herpesvirales,Herpesviridae,Varicellovirus,Bovine alphaherpesvirus 1,BoHV-1,DNA,double-stranded,NA,NA
perkinsus marinus (inf. with),perkinsus marinus,NA,eukaryote,Perkinsida,Perkinsidae,Perkinsus,marinus,NA,alveolate,NA,NA,NA
varroa spp. (inf. of honey bees with) (varroosis),varroosis,NA,eukaryote,Mesostigmata,Varroidae,Varroa,destructor,NA,arachnid,NA,NA,NA
old world screwworm (chrysomya bezziana),"primary screwworm, old world screwworm",NA,eukaryote,Diptera,Calliphoridae,Chrysomya,bezziana,NA,insecta,NA,NA,NA
equine encephalomyelitis (eastern)(2006-),equine encephalitis,NA,virus,Martellivirales,Togaviridae,Alphavirus,NA,NA,RNA,single-stranded,positive-sense,NA
red sea bream iridovirus (inf. with),red sea bream iridoviral disease rsivd,NA,virus,Pimascovirales,Iridoviridae,Iridovirus,Red sea bream iridovirus,RSIV,DNA,double-stranded,NA,NA
mikrocytos mimicus n. sp. (inf. with),mikrocytos mimicus n. sp.,NA,eukaryote,Mikrocytida,Mikrocytidae,Mikrocytos,mimicus,NA,rhizaria,NA,NA,NA
middle east respiratory syndrome coronavirus (inf. with) (2022-),middle east respiratory syndrome coronavirus,NA,virus,Nidovirales,Coronaviridae,Betacoronavirus,Middle East respiratory syndrome–related coronavirus,MERS-CoV,RNA,single-stranded,positive-sense,positive-sense
infectious haematopoietic necrosis virus (inf. with),infectious haematopoietic necrosis,NA,virus,Mononegavirales,Rhabdoviridae,Novirhabdovirus,Salmonid novirhabdovirus,IHNV,RNA,single-stranded,negative-sense,NA
porcine epidemic diarrhoea virus (inf. with),porcine epidemic diarrhea,NA,virus,Coronaviridae,Alphacoronavirus,Pedacovirus,Porcine epidemic diarrhea virus,PEDV,RNA,single-stranded,NA,NA
monkey pox,monkeypox,Mpox,virus,Chitovirales,Poxviridae,Orthopoxvirus,Monkeypox virus,MPV,DNA,double-stranded,NA,NA
gyrodactylus salaris (inf. with),gyrodactylosis,Gyrodactylus,eukaryote,Gyrodactylidea,Gyrodactylidae,Gyrodactylus,salaris,NA,platyhelminth,NA,NA,na
equid herpesvirus-1 (inf. with) (equine rhinopneumonitis) (2014-),equine viral rhinopneumonitis,NA,virus,Herpesvirales,Herpesviridae,Varicellovirus,Equid alphaherpesvirus 4,EHV-4,DNA,double-stranded,NA,NA
hepatobacter penaei (inf. with)(necrotising hepatopancreatitis)(2011-),hepatopancreatitis in prawns,Texas necrotizing hepatopancreatitis,bacteria,Vibrionales,Vibrionaceae,Vibrio,parahaemolyticus,NA,gram-negative,facultatively aerobic,NA,NA
bonamia ostreae (inf. with),bonamia ostreae,NA,eukaryote,Haplosporida,Haplosporidiidae,Bonamia,ostrea,NA,rhizaria,NA,NA,NA
haemorrhagic septicaemia (pasteurella multocida serotypes 6:b and 6:e),hemorrhagic septicemia,fowl cholera,bacteria,Pasteurellales,Pasteurellaceae,Pasteurella,multocida,NA,gram-negative,facultative anaerobe,NA,NA
mycoplasma gallisepticum¬†(avian mycoplasmosis) (inf. with),mycoplasma infection,NA,bacteria,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,gallisepticum,NA,gram-negative,facultative anaerobe,NA,NA
avian mycoplasmosis (m.synoviae) (2006-),mycoplasma infection,NA,bacteria,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,synoviae,NA,gram-negative,facultative anaerobe,NA,NA
duck virus hepatitis,duck hepatitis,NA,virus,Picornavirales,Picornaviridae,Avihepatovirus,Avihepatovirus A,DHV-1,RNA,single-stranded,positive-sense,NA
epizootic hemorrhagic disease virus (inf. with),epizootic hemorrhagic disease,epizootic hemorrhagic disease,virus,Reovirales,Reoviridae,Orbivirus,Epizootic hemorrhagic disease virus,NA,RNA,double-stranded,NA,NA
epizootic hemorrhagic disease virus (inf. with),epizootic hemorrhagic disease,epizootic haemorrhagic disease,virus,Reovirales,Reoviridae,Orbivirus,Epizootic hemorrhagic disease virus,NA,RNA,double-stranded,NA,NA
camelpox (2006-),camelpox,NA,virus,Chitovirales,Poxviridae,Orthopoxvirus,Camelpox virus,SPV,DNA,double-stranded,NA,NA
pox viruses (other than those listed by the oie)(inf. with)(2011-),mycoplasma infection,NA,bacteria,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,synoviae,NA,gram-negative,facultative anaerobe,NA,NA
new world screwworm (cochliomyia hominivorax),"primary screwworm, new world screwworm",NA,eukaryote,Diptera,Calliphoridae,Cochliomyia,NA,NA,insecta,NA,NA,NA
surra (trypanosoma evansi),trypanosomiasis,NA,eukaryote,Trypanosomatida,Trypanosomatidae,Trypanosoma,NA,NA,NA,NA,NA,"flies,triatome bugs"
taura syndrome virus (inf. with),taura syndrome,NA,virus,Picornavirales,Dicistroviridae,Aparavirus,Taura syndrome virus,TSV,RNA,single-stranded,positive-sense,NA
influenza a viruses of high pathogenicity (inf. with) (non-poultry including wild birds) (2017-),highly pathogenic avian influenza,hpai,virus,Articulavirales,Influenza A virus,Alphainfluenzavirus,Influenza A virus,HPAI,RNA,single-stranded,negative-sense,NA
influenza a viruses of high pathogenicity (inf. with) (non-poultry including wild birds) (2017-),highly pathogenic avian influenza,highly pathogenic avian influenza,virus,Articulavirales,Influenza A virus,Alphainfluenzavirus,Influenza A virus,HPAI,RNA,single-stranded,negative-sense,NA
ovine epididymitis (brucella ovis),ovine brucellosis,brucellosis,bacteria,Hyphomicrobiales,Brucellaceae,Brucella,ovis,NA,gram-negative,aerobe,facultative intracellular,NA
pigeon rotavirus,pigeon rotavirus,NA,virus,Reovirales,Sedoreoviridae,Sedoreovirinae,Rotavirus,NA,RNA,double-stranded,positive-sense,NA
aeromonas hydrophila (inf. with),aeromonas hydrophila,NA,bacteria,Aeromonadales,Aeromonadaceae,Aeromonas,hydrophila,NA,gram-negative,facultative anaerobe,NA,NA
tilapia lake virus (tilv) disease,tilapia lake disease,NA,virus,Articulavirales,Amnoonviridae,Tilapinevirus,Tilapia tilapinevirus,TiLV,RNA,single-stranded,negative-sense,NA
trypanosomosis (tsetse-transmitted) (-2021),trypanosomiasis,NA,eukaryote,Trypanosomatida,Trypanosomatidae,Trypanosoma,NA,NA,NA,NA,NA,"flies,triatome bugs"
acute hepatopancreatic necrosis disease (2016-),hepatopancreatitis in prawns,Texas necrotizing hepatopancreatitis,bacteria,Vibrionales,Vibrionaceae,Vibrio,parahaemolyticus,NA,gram-negative,facultatively aerobic,NA,NA
macrobrachium rosenbergii nodavirus (inf. with) (white tail disease) (2008-),white muscle disease,white tail disease,virus,NA,Sarthroviridae,Macronovirus,Macrobrachium satellite virus 1,MrNV,RNA,single-stranded,positive-sense,NA
infectious myonecrosis virus (inf. with)(2008-),infectious myonecrosis virus,NA,virus,Ghabrivirales,Totiviridae,NA,Infectious myonecrosis virus,IMNV,RNA,NA,NA,NA
swine vesicular disease (-2014),swine vesicular disease,NA,virus,Picornavirales,Picornaviridae,Enterovirus,Enterovirus B,EV-B,RNA,single-stranded,positive-sense,NA
mycobacterium tuberculosis complex (inf. with)(2019-),mycobacterium tuberculosis,NA,bacteria,Mycobacteriales,Mycobacteriaceae,Mycobacterium,tuberculosis,NA,gram-resistant,aerobe,NA,NA
equine encephalomyelitis (western)(2006-),equine encephalitis,NA,virus,Martellivirales,Togaviridae,Alphavirus,NA,NA,RNA,single-stranded,positive-sense,NA
bovine viral diarrhoea (2006-),bovine viral diarrhoea,mucosal disease,virus,Amarillovirales,Flaviviridae,Pestivirus,NA,BVDV,RNA,single-stranded,positive-sense,NA
infectious hypodermal and haematopoietic necrosis virus (inf. with),infectious hypodermal and hematopoietic necrosis ihhn,NA,virus,Piccovirales,Parvoviridae,Penstylhamaparvovirus,Decapod penstylhamaparvovirus 1,IHHNV,DNA,single-stranded,NA,NA
