taxon,standardized_taxon_name,common_name,taxon_class,taxon_order,taxon_family,taxon_genus,taxon_species,notes
capricornis sumatraensis,serow,sumatran serow,mammalia,artiodactyla,bovidae,capricornis,sumatraensis,
connochaetes gnou,wildewildebeest,black wildebeest,mammalia,artiodactyla,bovidae,connochaetes,gnou,
gazella dorcas,gazelle,dorcas gazelle,mammalia,artiodactyla,bovidae,gazella,dorcas,
mountain gazelle (gazella gazella):bovidae-artiodactyla,gazelle,mountain gazelle,mammalia,artiodactyla,bovidae,gazella,gazella,
gazella gazella,gazelle,mountain gazelle,mammalia,artiodactyla,bovidae,gazella,gazella,
goitered gazelle (gazella subgutturosa):bovidae-artiodactyla,gazelle,goitered gazelle,mammalia,artiodactyla,bovidae,gazella,subgutturosa,
gazella subgutturosa,gazelle,goitered gazelle,mammalia,artiodactyla,bovidae,gazella,subgutturosa,
hippotragus equinus,antelope,roan antelope,mammalia,artiodactyla,bovidae,hippotragus,equinus,
sheep/goats (mixed herd),mixed,,mammalia,artiodactyla,bovidae,mixed,,
gazella granti,gazelle,grant's gazelle,mammalia,artiodactyla,bovidae,nanger,granti,
oryx gazella,gazelle,gemsbok,mammalia,artiodactyla,bovidae,oryx,gazella,
argali (ovis ammon):bovidae-artiodactyla,sheep,argali,mammalia,artiodactyla,bovidae,ovis,ammon,
ovis ammon,sheep,argali,mammalia,artiodactyla,bovidae,ovis,ammon,
sheep,sheep,sheep,mammalia,artiodactyla,bovidae,ovis,aries,
mouflon (ovis orientalis):bovidae-artiodactyla,sheep,asiatic mouflon,mammalia,artiodactyla,bovidae,ovis,orientalis,
ovis orientalis,sheep,asiatic mouflon,mammalia,artiodactyla,bovidae,ovis,orientalis,
procapra gutturosa,gazelle,,mammalia,artiodactyla,bovidae,procapra,gutturosa,
rupicapra rupicapra,caprine,chamois,mammalia,artiodactyla,bovidae,rupicapra,rupicapra,
saiga antelope (saiga tatarica):bovidae-artiodactyla,antelope,,mammalia,artiodactyla,bovidae,saiga,tatarica,
saiga tatarica,antelope,,mammalia,artiodactyla,bovidae,saiga,tatarica,
bush duiker (gray duiker) (sylvicapra grimmia):bovidae-artiodactyla,antelope,bush duiker,mammalia,artiodactyla,bovidae,sylvicapra,grimmia,
sylvicapra grimmia,antelope,bush duiker,mammalia,artiodactyla,bovidae,sylvicapra,grimmia,
african buffalo (cape buffalo) (syncerus caffer):bovidae-artiodactyla,buffalo,african buffalo,mammalia,artiodactyla,bovidae,syncerus,caffer,
syncerus caffer,buffalo,african buffalo,mammalia,artiodactyla,bovidae,syncerus,caffer,
tragelaphus angasii,antelope,nyala,mammalia,artiodactyla,bovidae,tragelaphus,angasii,
greater kudu (tragelaphus strepsiceros):bovidae-artiodactyla,antelope,greater kudu,mammalia,artiodactyla,bovidae,tragelaphus,strepsiceros,
tragelaphus strepsiceros,antelope,greater kudu,mammalia,artiodactyla,bovidae,tragelaphus,strepsiceros,
buffaloes,buffalo,,mammalia,artiodactyla,bovidae,,,Unclear if this refers to bison or Bubalus bubalis
bovidae (incognita),bovid,,mammalia,artiodactyla,bovidae,,,
lama glama,llama,llama,mammalia,artiodactyla,camelidae,lama,glama,
vicugna pacos,llama,alpaca,mammalia,artiodactyla,camelidae,lama,pacos,
camelidae,camel,,mammalia,artiodactyla,camelidae,,,
camelidae (dom),camel,,mammalia,artiodactyla,camelidae,,,
camelidae (incognita),camel,,mammalia,artiodactyla,camelidae,,,
moose (alces alces):cervidae-artiodactyla,moose,eurasian elk,mammalia,artiodactyla,cervidae,alces,alces,
alces alces,moose,eurasian elk,mammalia,artiodactyla,cervidae,alces,alces,aka moose
chital deer (axis axis):cervidae-artiodactyla,deer,chital,mammalia,artiodactyla,cervidae,axis,axis,
axis axis,deer,chital,mammalia,artiodactyla,cervidae,axis,axis,
western roe deer (capreolus capreolus):cervidae-artiodactyla,deer,western roe deer,mammalia,artiodactyla,cervidae,capreolus,capreolus,
capreolus capreolus,deer,western roe deer,mammalia,artiodactyla,cervidae,capreolus,capreolus,
red deer (cervus elaphus):cervidae-artiodactyla,deer,red deer,mammalia,artiodactyla,cervidae,cervus,elaphus,
cervus elaphus,deer,red deer,mammalia,artiodactyla,cervidae,cervus,elaphus,
fallow deer (dama dama):cervidae-artiodactyla,deer,fallow deer,mammalia,artiodactyla,cervidae,dama,dama,
dama dama,deer,fallow deer,mammalia,artiodactyla,cervidae,dama,dama,
mazama nana,deer,pygmy brocket,mammalia,artiodactyla,cervidae,mazama,nana,
odocoileus hemionus,deer,mule deer,mammalia,artiodactyla,cervidae,odocoileus,hemionus,
caribou (reindeer) (rangifer tarandus):cervidae-artiodactyla,deer,reindeer,mammalia,artiodactyla,cervidae,rangifer,tarandus,
rangifer tarandus,deer,reindeer,mammalia,artiodactyla,cervidae,rangifer,tarandus,
cervus unicolor,deer,sambar,mammalia,artiodactyla,cervidae,rusa,unicolor,
cervidae,deer,,mammalia,artiodactyla,cervidae,,,
cervidae (dom),deer,,mammalia,artiodactyla,cervidae,,,
tursiops truncatus (fau),dolphin,common bottlenose dolphin,mammalia,artiodactyla,delphinidae,tursiops,truncatus,
equus quagga,zebra,,mammalia,artiodactyla,equidae,equus,quagga,
hippopotamus (hippopotamus amphibius):hippopotamidae-artiodactyla,hippopotamus,hippopotamus,mammalia,artiodactyla,hippopotamidae,hippopotamus,amphibius,
hippopotamus amphibius,hippopotamus,hippopotamus,mammalia,artiodactyla,hippopotamidae,hippopotamus,amphibius,
hippopotamidae (incognita),hippopotamus,,mammalia,artiodactyla,hippopotamidae,,,
potamochoerus larvatus,swine,bushpig,mammalia,artiodactyla,suidae,potamochoerus,larvatus,
red river hog (potamochoerus porcus):suidae-artiodactyla,swine,red river hog,mammalia,artiodactyla,suidae,potamochoerus,porcus,
potamochoerus porcus,swine,red river hog,mammalia,artiodactyla,suidae,potamochoerus,porcus,
bearded pig (sus barbatus):suidae-artiodactyla,swine,bearded pig,mammalia,artiodactyla,suidae,sus,barbatus,
sus barbatus,swine,bearded pig,mammalia,artiodactyla,suidae,sus,barbatus,
visayan warty pig (sus cebifrons):suidae-artiodactyla,swine,visayan warty pig,mammalia,artiodactyla,suidae,sus,cebifrons,
sus cebifrons,swine,visayan warty pig,mammalia,artiodactyla,suidae,sus,cebifrons,
wild boar (sus scrofa):suidae-artiodactyla,swine,pig,mammalia,artiodactyla,suidae,sus,scrofa,
sus scrofa,swine,pig,mammalia,artiodactyla,suidae,sus,scrofa,
swine,swine,,mammalia,artiodactyla,suidae,sus,,
suidae (incognita),swine,,mammalia,artiodactyla,suidae,,,
golden jackal (canis aureus):canidae-carnivora,jackal,golden jackal,mammalia,carnivora,canidae,canis,aureus,
canis aureus,jackal,golden jackal,mammalia,carnivora,canidae,canis,aureus,
dogs,dog,dog,mammalia,carnivora,canidae,canis,familiaris,
canis latrans,coyote,coyote,mammalia,carnivora,canidae,canis,latrans,
canis lupus,wolf,wolf,mammalia,carnivora,canidae,canis,lups,
canis mesomelas,jackal,black-backed jackal,mammalia,carnivora,canidae,canis,mesomelas,
nyctereutes procyonoides,raccoon dog,raccoon dog,mammalia,carnivora,canidae,nyctereutes,procyonoides,
vulpes corsac,fox,corsac fox,mammalia,carnivora,canidae,vulpes,corsac,
arctic fox (vulpes lagopus):canidae-carnivora,fox,arctic fox,mammalia,carnivora,canidae,vulpes,lagopus,
vulpes lagopus,fox,arctic fox,mammalia,carnivora,canidae,vulpes,lagopus,
red fox (vulpes vulpes):canidae-carnivora,fox,red fox,mammalia,carnivora,canidae,vulpes,vulpes,
vulpes vulpes,fox,red fox,mammalia,carnivora,canidae,vulpes,vulpes,
catopuma temminckii,cat,asiatic golden cat,mammalia,carnivora,felidae,catopuma,temminckii,
cats,cat,domestic cat,mammalia,carnivora,felidae,felis,catus,
felis catus,cat,domestic cat,mammalia,carnivora,felidae,felis,catus,
cat,cat,domestic cat,mammalia,carnivora,felidae,felis,catus,
lynx canadensis,cat,canada lynx,mammalia,carnivora,felidae,lynx,canadensis,
felis lynx,cat,eurasian lynx,mammalia,carnivora,felidae,lynx,lynx,
lynx rufus,cat,bobcat,mammalia,carnivora,felidae,lynx,rufus,
lion (panthera leo):felidae-carnivora,lion,lion,mammalia,carnivora,felidae,panthera,leo,
panthera leo,lion,lion,mammalia,carnivora,felidae,panthera,leo,
panthera onca,panther,jaguar,mammalia,carnivora,felidae,panthera,onca,
panthera pardus orientalis,lion,leopard,mammalia,carnivora,felidae,panthera,pardus,
panthera tigris,tiger,tiger,mammalia,carnivora,felidae,panthera,tigris,
panthera uncia,lion,snow leopard,mammalia,carnivora,felidae,panthera,uncia,
prionailurus viverrinus,fishing cat,fishing cat,mammalia,carnivora,felidae,prionailurus,viverrinus,
puma concolor,puma,puma,mammalia,carnivora,felidae,puma,concolor,
crocuta crocuta,hyena,spotted hyena,mammalia,carnivora,hyaenidae,crocuta,crocuta,
striped skunk (mephitis mephitis):mephitidae-carnivora,skunk,striped skunk,mammalia,carnivora,mephitidae,mephitis,mephitis,
mephitis mephitis,skunk,striped skunk,mammalia,carnivora,mephitidae,mephitis,mephitis,
mustela furo,ferret,domestic ferret,mammalia,carnivora,muscicapidae,mustela,furo,
mustelidae,weasel,"weasel, mink, badger, martens and others",mammalia,carnivora,muscicapidae,mustelidae,,
mustelidae (dom),weasel,"weasel, mink, badger, martens and others",mammalia,carnivora,muscicapidae,mustelidae,,
aonyx cinereus,otter,asian small-clawed otter,mammalia,carnivora,mustelidae,aonyx,cinereus,
lontra canadensis,otter,northern american river otter,mammalia,carnivora,mustelidae,lontra,canadensis,
lontra felina,otter,marine otter,mammalia,carnivora,mustelidae,lontra,felina,
martes americana,marten,american marten,mammalia,carnivora,mustelidae,martes,americana,
martes flavigula,marten,yellow-throated marten,mammalia,carnivora,mustelidae,martes,flavigula,
european pine marten (martes martes):mustelidae-carnivora,marten,european pine marten,mammalia,carnivora,mustelidae,martes,martes,
martes martes,marten,european pine marten,mammalia,carnivora,mustelidae,martes,martes,
european badger (meles meles):mustelidae-carnivora,badger,eurasian badger,mammalia,carnivora,mustelidae,meles,meles,
meles meles,badger,eurasian badger,mammalia,carnivora,mustelidae,meles,meles,
chinese ferret-badger (melogale moschata):mustelidae-carnivora,badger,chinese ferret-badger,mammalia,carnivora,mustelidae,melogale,moschata,
melogale moschata,badger,chinese ferret-badger,mammalia,carnivora,mustelidae,melogale,moschata,
mustela putorius,polecat,european polecat,mammalia,carnivora,mustelidae,mustela,putorius,
american mink (neovison vison):mustelidae-carnivora,mink,american mink,mammalia,carnivora,mustelidae,neogale,vison,genus updated to neogale
neovison vison,mink,american mink,mammalia,carnivora,mustelidae,neogale,vison,genus updated to neogale
pekania pennanti,fisher,fisher,mammalia,carnivora,mustelidae,pekania,pennanti,
taxidea taxus,badger,american badger,mammalia,carnivora,mustelidae,taxidea,taxus,
otaria flavescens,sea lion,south american sea lion,mammalia,carnivora,otariidae,otaria,flavescens,
gray seal (halichoerus grypus):phocidae-carnivora,seal,gray seal,mammalia,carnivora,phocidae,halichoerus,grypus,
halichoerus grypus,seal,gray seal,mammalia,carnivora,phocidae,halichoerus,grypus,
harbor seal (phoca vitulina):phocidae-carnivora,seal,harbor seal,mammalia,carnivora,phocidae,phoca,vitulina,
phoca vitulina,seal,harbor seal,mammalia,carnivora,phocidae,phoca,vitulina,
south american coati (nasua nasua):procyonidae-carnivora,coati,ring-tailed coati,mammalia,carnivora,procyonidae,nasua,nasua,
nasua nasua,coati,ring-tailed coati,mammalia,carnivora,procyonidae,nasua,nasua,
procyon lotor,raccoon,raccoon,mammalia,carnivora,procyonidae,procyon,lotor,
ursus americanus,bear,american black bear,mammalia,carnivora,ursidae,ursus,americanus,
ursus arctos,bear,brown bear,mammalia,carnivora,ursidae,ursus,arctos,
ursus maritimus,bear,,mammalia,carnivora,ursidae,ursus,martimus,
arctictis binturong,bearcat,binturong,mammalia,carnivora,viverridae,arctictis,binturong,
viverridae (incognita),viverrid,,mammalia,carnivora,viverridae,,,
cricetidae (unidentified) (cricetidae (incognita)):cricetidae-rodentia,rodent,,mammalia,cricetidae,,,,
cricetidae (incognita),rodent,,mammalia,cricetidae,,,,
cynocephalus volans,lemur,philippine flying lemur,mammalia,demoptera,cynocephalidae,cynocephalus,volans,
macropus giganteus,kangaroo,eastern gray kangaroo,mammalia,diprotodontia,macropodidae,macropus,giganteus,
asian house shrew (suncus murinus):soricidae-soricomorpha,shrew,house shrew,mammalia,eulipotyphla,soricidae,suncus,murinus,order updated to eulipotyphla
suncus murinus,shrew,house shrew,mammalia,eulipotyphla,soricidae,suncus,murinus,
antelope jackrabbit (lepus alleni):leporidae-lagomorpha,rabbit,antelope jackrabbit,mammalia,lagomorpha,leporidae,lepus,alleni,
lepus alleni,rabbit,antelope jackrabbit,mammalia,lagomorpha,leporidae,lepus,alleni,
black-tailed jackrabbit (lepus californicus):leporidae-lagomorpha,rabbit,black-tailed jackrabbit,mammalia,lagomorpha,leporidae,lepus,californicus,
lepus californicus,rabbit,black-tailed jackrabbit,mammalia,lagomorpha,leporidae,lepus,californicus,
cape hare (lepus capensis):leporidae-lagomorpha,rabbit,brown hare,mammalia,lagomorpha,leporidae,lepus,capensis,
lepus capensis,rabbit,brown hare,mammalia,lagomorpha,leporidae,lepus,capensis,
brown hare (european hare) (lepus europaeus):leporidae-lagomorpha,rabbit,european hare,mammalia,lagomorpha,leporidae,lepus,europaeus,
lepus europaeus,rabbit,european hare,mammalia,lagomorpha,leporidae,lepus,europaeus,
lepus granatensis,rabbit,granada hare,mammalia,lagomorpha,leporidae,lepus,granatensis,
mountain hare (lepus timidus):leporidae-lagomorpha,rabbit,mountain hare,mammalia,lagomorpha,leporidae,lepus,timidus,
lepus timidus,rabbit,mountain hare,mammalia,lagomorpha,leporidae,lepus,timidus,
european rabbit (oryctolagus cuniculus):leporidae-lagomorpha,rabbit,rabbit,mammalia,lagomorpha,leporidae,oryctolagus,cuniculus,
oryctolagus cuniculus,rabbit,rabbit,mammalia,lagomorpha,leporidae,oryctolagus,cuniculus,
desert cottontail (sylvilagus audubonii):leporidae-lagomorpha,rabbit,desert cottontail,mammalia,lagomorpha,leporidae,sylvilagus,audubonii,
sylvilagus audubonii,rabbit,desert cottontail,mammalia,lagomorpha,leporidae,sylvilagus,audubonii,
eastern cottontail (sylvilagus floridanus):leporidae-lagomorpha,rabbit,eastern cottontail,mammalia,lagomorpha,leporidae,sylvilagus,floridanus,
sylvilagus floridanus,rabbit,eastern cottontail,mammalia,lagomorpha,leporidae,sylvilagus,floridanus,
mountain cottontail (sylvilagus nuttallii):leporidae-lagomorpha,rabbit,mountain cottontail,mammalia,lagomorpha,leporidae,sylvilagus,nuttallii,
sylvilagus nuttallii,rabbit,mountain cottontail,mammalia,lagomorpha,leporidae,sylvilagus,nuttallii,
rabbits/hares (mixed group),rabbit,,mammalia,lagomorpha,leporidae,,,
leporidae (unidentified) (leporidae (incognita)):leporidae-lagomorpha,rabbit,,mammalia,lagomorpha,leporidae,,,
rabbits,rabbit,,mammalia,lagomorpha,leporidae,,,
leporidae (incognita),rabbit,,mammalia,lagomorpha,leporidae,,,
equidae,horse,,mammalia,perissodactyla,equidae,,,
equidae (dom),horse,,mammalia,perissodactyla,equidae,,,
giant anteater (myrmecophaga tridactyla):myrmecophagidae-pilosa,anteater,giant anteater,mammalia,pilosa,myrmecophagidae,myrmecophaga,tridactyla,
myrmecophaga tridactyla,anteater,giant anteater,mammalia,pilosa,myrmecophagidae,myrmecophaga,tridactyla,
black-tailed marmoset (mico melanurus):callitrichidae-primates,marmoset,black-tailed marmoset,mammalia,primates,callitrichidae,mico,melanurus,
mico melanurus,marmoset,black-tailed marmoset,mammalia,primates,callitrichidae,mico,melanurus,
saimiri sciureus,monkey,,mammalia,primates,cebidae,saimiri,scieureus,
mandrillus sphinx,monkey,mandrill,mammalia,primates,cercopithecidae,mandrillus,sphinx,
gorilla gorilla,gorilla,western gorilla,mammalia,primates,hominidae,gorilla,gorilla,
human,human,human,mammalia,primates,hominidae,homo,sapiens,
pan troglodytes,chimpanzee,chimpanzee,mammalia,primates,hominidae,pan,troglodytes,
african elephant (loxodonta africana):elephantidae-proboscidea,elephant,african savanna elephant,mammalia,proboscidea,elephantidae,loxodonta,africana,
loxodonta africana,elephant,african savanna elephant,mammalia,proboscidea,elephantidae,loxodonta,africana,
dolichotis patagonum,rodent,patagonian cavy,mammalia,rodentia,caviidae,dolichotis,patagonum,
alpine marmot (marmota marmota):sciuridae-rodentia,marmot,european marmot,mammalia,rodentia,sciuridae,marmota,marmota,
marmota marmota,marmot,european marmot,mammalia,rodentia,sciuridae,marmota,marmota,
west indian manatee (trichechus manatus):trichechidae-sirenia,manatee,west indian manatee,mammalia,sirenia,trichechidae,trichechus,manatus,
trichechus manatus,manatee,west indian manatee,mammalia,sirenia,trichechidae,trichechus,manatus,
al indeterminatum,unknown,,,,,,,
mol indeterminatum,unknown,,,,,,,
crus indeterminatum fau,unknown,,,,,,,
other species,unknown,,,,,,,
pis indeterminatum,unknown,,,,,,,
wild fish (species unspecified) (pis indeterminatum fau):wild fish (family unspecified)-wild fish,fish,,,,,,,
al indeterminatum fau,unknown,,,,,,,
pis indeterminatum fau,unknown,,,,,,,
chaetophractus villosus,armadillo,big hairy armadillo,mammalia,cingulata,chlamyphoridae,chaetophractus,villosus,
gelochelidon nilotica,bird,gull-billed tern,aves,charadriiformes,laridae,gelochelidon,nilotica,
thalasseus acuflavidus,bird,cabot’s tern,aves,charadriiformes,laridae,thalasseus,acuflavidus,
sula leucogaster,bird,brown booby,aves,suliformes,sulidae,sula,leucogaster,
lagothrix lagotricha,monkey,common woolly monkey,mammalia,primates,atelidae,lagothrix,lagotricha,
ateles fusciceps,monkey,black-headed spider monkey,mammalia,primates,atelidae,ateles,fusciceps,
buteo regalis,bird,ferruginous hawk,aves,accipitriformes,accipitridae,buteo,regalis,
megascops choliba,bird,tropical screech owl,aves,strigiformes,strigidae,megascops,choliba,
larus smithsonianus,bird,american herring gull,aves,charadriiformes,laridae,larus,smithsonianus,
pronolagus rupestris,rabbit,smith’s red rock hare,mammalia,lagomorpha,leporidae,pronolagus,rupestris,
milvago chimango,bird,chimango caracara,aves,falconiformes,falconidae,milvago,chimango,
macronectes giganteus,bird,southern giant petrel,aves,procellariiformes,procellariidae,macronectes,giganteus,
anas flavirostris,bird,yellow-billed teal,aves,anseriformes,anatidae,anas,flavirostris,
haematopus ater,bird,blackish oystercatcher,aves,charadriiformes,haematopodidae,haematopus,ater,
chroicocephalus maculipennis,bird,brown-hooded gull,aves,charadriiformes,laridae,chroicocephalus,maculipennis,
fulica armillata,bird,red-gartered coot,aves,gruiformes,rallidae,fulica,armillata,
stercorarius chilensis,bird,chilean skua,aves,charadriiformes,stercorariidae,stercorarius,chilensis,
ardenna grisea,bird,sooty shearwater,aves,procellariiformes,procellariidae,ardenna,grisea,
leucocarbo atriceps,bird,imperial shag,aves,suliformes,phalacrocoracidae,leucocarbo,atriceps,
podiceps major,bird,great grebe,aves,podicipediformes,podicipedidae,podiceps,major,
tachyeres pteneres,bird,fuegian steamer duck,aves,anseriformes,anatidae,tachyeres,pteneres,
fregata magnificens,bird,magnificent frigatebird,aves,suliformes,fregatidae,fregata,magnificens,
lontra provocax,otter,southern river otter,mammalia,carnivora,mustelidae,lontra,provocax,
buteogallus urubitinga,bird,great black hawk,aves,accipitriformes,accipitridae,buteogallus,urubitinga,
sus salvanius,swine,pygmy hog,mammalia,atriodactyla,suidae,sus,salvanius,
larus genei,bird,slender-billed gull,aves,charadriiformes,laridae,larus,genei,
buteo magnirostris,bird,roadside hawk,aves,accipitriformes,accipitridae,buteo,magnirostris,
caracara plancus,bird,crested caracara,aves,falconiformes,falconidae,caracara,plancus,
aythya valisineria,bird,canvasback,aves,anseriformes,anatidae,aythya,valisineria,
sternula albifrons,bird,little tern,aves,charadriiformes,charadriidae,sternula,albifrons,
sterna dougallii,bird,roseate tern,aves,charadriiformes,laridae,sterna,dougallii,
tringa flavipes,bird,lesser yellowlegs,aves,charadriiformes,scolopacidae,tringa,flavipes,
chloephaga picta,bird,upland goose,aves,anseriformes,anatidae,chloephaga,picta,
vanellus chilensis,bird,southern lapwing,aves,charadriiformes,charadriidae,vanellus,chilensis,
streptopelia turtur,bird,european turtle dove,aves,columbiformes,columbidae,streptopelia,turtur,
barbus peludinosus (fau),fish,straightfin barb,actinopterygii,cypriniformes,cyprinidae,barbus,peludinosus,
lagopus lagopus,bird,willow ptarmigan,aves,galliformes,phasianidae,lagopus,lagopus,
icteridae (incognita),bird,new world blackbirds,aves,passeriformes,icteridae,,,
columbina inca,bird,inca dove,aves,columbiformes,columbidae,columbina,inca,
thalassarche melanophris,bird,black-browed albatross,aves,procellariiformes,diomedeidae,thalassarche,melanophris,
accipiter brachyurus,bird,new britain sparrowhawk,aves,accipitriformes,accipitridae,accipiter,brachyurus,
callorhinus ursinus,seal,northern fur seal,mammalia,carnivora,otariidae,callorhinus,ursinus,
lutra lutra,otter,eurasian otter,mammalia,carnivora,mustelidae,lutra,lutra,
arctocephalus australis,seal,south american fur seal,mammalia,carnivora,otariidae,arctocephalus,australis,
ardenna tenuirostris,bird,short-tailed shearwater,aves,procellariiformes,procellariidae,ardenna,tenuirostris,
meretrix taiwanica,clam,clam,bivalvia,venerida,veneridae,meretrix,taiwanica,
mirounga leonina,seal,southern elephant seal,mammalia,carnivora,phocidae,mirounga,leonina,
pachyptila desolata,bird,antarctic prion,aves,procellariiformes,procellariidae,pachyptila,desolata,
aquila rapax,bird,tawny eagle,aves,accipitriformes,accipitridae,aquila,rapax,
phoebastria irrorata,bird,waved albatross,aves,procellariiformes,diomedeidae,phoebastria,irrorata,
ciconia nigra,bird,black stork,aves,ciconiiformes,ciconiidae,ciconia,nigra,
fregata minor,bird,great frigatebird,aves,suliformes,fregatidae,fregata,minor,
sula sula,bird,red-footed bobby,aves,suliformes,sulidae,sula,sula,
spatula cyanoptera,bird,cinnamon teal,aves,anseriformes,anatidae,spatula,cyanoptera,
pluvialis dominica,bird,american golder plover,aves,charadriiformes,charadriidae,pluvialis,dominica,
cyanocorax chrysops,bird,plush-crested jay,aves,passeriformes,corvidae,cyanocorax,chrysops,
sarcoramphus papa,bird,king vulture,aves,cathartiformes,cathartidae,sarcoramphus,papa,
phalacrocorax punctatus,bird,spotted shag,aves,suliformes,phalacrocoracidae,phalacrocorax,punctatus,
fulmarus glacialoides,bird,southern fulmar,aves,procellariiformes,procellariidae,fulmarus,glacialoides,
martes zibellina,marten,sable,mammalia,carnivora,mustelidae,martes,zibellina,
lynx lynx,cat,eurasian lynx,mammalia,carnivora,felidae,lynx,lynx,
procellaria aequinoctialis,bird,white-chinned petrel,aves,procellariiformes,procellariidae,procellaria,aequinoctialis,
accipiter gularis,bird,japanese sparrowhawk,aves,accipitriformes,accipitridae,accipiter,gularis,
lepus saxatilis,rabbit,scrub hare,mammalia,lagomorpha,leporidae,lepus,saxatilis,
amazona aestiva,bird,blue-fronted amazon,aves,psittaciformes,psittacidae,amazona,aestiva,
sciurus aberti,squirrel,abert’s squirrel,mammalia,rodentia,sciuridae,sciurus,aberti,
gallinago stenura,bird,pin-tailed snipe,aves,charadriiformes,scolopacidae,gallinago,stenura,
salamandra salamandra (fau),salamander,fire salamander,amphibia,urodela,salamandridae,salamandra,salamandra,
oreochromis niloticus x oreochromis mossambicus,fish,nile tilapia,actinopterygii,cichliformes,cichlidae,oreochromis,niloticus,
callipepla californica,bird,california quail,aves,galliformes,odontophoridae,callipepla,californica,
tridacna crocea (fau),clam,boring clam,bivalvia,cardiida,cardiidae,tridacna,crocea,
pseudois nayaur,sheep,bharal,mammalia,atriodactyla,bovidae,pseudois,nayaur,
eudyptes chrysocome,bird,southern rockhopper penguin,aves,sphenisciformes,spheniscidae,eudyptes,chrysocome,
larus audouinii,bird,audouin's gull,aves,charadriiformes,charadriidae,larus,audouinii,
pluvialis squatarola,bird,grey plover,aves,charadriiformes,charadriidae,pluvialis,squatarola,
calidris mauri,bird,western sandpiper,aves,charadriiformes,scolopacidae,calidris,mauri,
accipiter atricapillus,bird,american goshawk,aves,accipitriformes,accipitridae,accipiter,atricapillus,
stercorarius maccormicki,bird,south polar skua,aves,charadriiformes,stercorariidae,stercorarius,maccormicki,
nyctanassa violacea ,bird,yellow-crowned night heron,aves,pelecaniformes,ardeidae,nyctanassa,violacea,
