disease,standardized_disease_name,source,alt,group,order,family,genus,species,abbreviation,details,details1,details2,vector
perkinsus olseni,perkinsus olseni,oie,perkinsus atlanticus,eukaryote,Perkinsida,Perkinsidae,Perkinsus,olseni,,alveolate,,,
decapod iridescent  1 infection,decapod iridescent 1 infection,oie,,virus,Bunyavirales,Nairoviridae,Orthonairovirus,Orthonairovirus,CCHFV,RNA,single-stranded,negative-sense,
bonamia ostreae,bonamia ostreae,oie,,eukaryote,Haplosporida,Haplosporidiidae,Bonamia,ostrea,,rhizaria,,,
ostreid herpes-1,ostreid herpes-1,oie,,virus,Herpesvirales,Malacoherpesviridae,Ostreavirus,Ostreid herpesvirus 1,OsHV-1,DNA,,,
hepatopancreatitis in prawns,hepatopancreatitis in prawns,oie,Texas necrotizing hepatopancreatitis,bacteria,Vibrionales,Vibrionaceae,Vibrio,parahaemolyticus,,gram-negative,facultatively aerobic,,
Pertussis,pertussis,aido,,bacteria,Burkholderiales,Alcaligenaceae,Bordetella,pertussis,,gram-negative,aerobic,,
Plague,plague,aido,,bacteria,Enterobacterales,Yersiniaceae,Yersinia,pestis,,gram-negative,facultative anaerobe,,
classical swine fever,classical swine fever,oie,hog cholera,virus,Amarillovirales,Flaviviridae,Pestivirus,Pestivirus C,CSFV,RNA,single-stranded,positive-sense,
postweaning multisystemic wasting syndrome,postweaning multisystemic wasting syndrome,oie,,virus,Cirlivirales,Circoviridae,Circovirus,Porcine circovirus 2,PCV,DNA,single-stranded,,
porcine epidemic diarrhea,porcine epidemic diarrhea,oie,,virus,Coronaviridae,Alphacoronavirus,Pedacovirus,Porcine epidemic diarrhea virus,PEDV,RNA,single-stranded,,
Porcine Epidemic Diarrhea Virus (PEDV),porcine epidemic diarrhea virus (pedv),aido,,virus,Coronaviridae,Alphacoronavirus,Pedacovirus,Porcine epidemic diarrhea virus,PEDV,RNA,single-stranded,,
avian chlamydiosis,avian chlamydiosis,oie,,bacteria,Chlamydiales,Chlamydiaceae,Chlamydia,psittaci,,gram-negative,anaerobe,obligate intracellular,
pullorum disease,pullorum disease,oie,,bacteria,Enterobacterales,Enterobacteriaceae,Salmonella,pullorum,,gram-negative,facultative anaerobe,,
